atom,resid,ATB_charges,BaderAA_100ps,BaderUA_100ps,BaderAA_200ps,BaderUA_200ps,BaderAA_300ps,BaderUA_300ps,BaderAA_400ps,BaderUA_400ps,BaderAA_500ps,BaderUA_500ps,BaderAA_600ps,BaderUA_600ps,BaderAA_700ps,BaderUA_700ps,BaderAA_800ps,BaderUA_800ps,BaderAA_900ps,BaderUA_900ps,BaderAA_1ns,BaderUA_1ns,Mean_100-1,Mean_600-1
CD5,terB,0.258,4.798040000000000083e-01,4.798040000000000083e-01,4.461470000000000158e-01,4.461470000000000158e-01,4.730909999999999838e-01,4.730909999999999838e-01,4.394700000000000273e-01,4.394700000000000273e-01,5.009299999999999864e-01,5.009299999999999864e-01,4.300260000000000193e-01,4.300260000000000193e-01,4.779990000000000072e-01,4.779990000000000072e-01,4.899240000000000261e-01,4.899240000000000261e-01,4.425790000000000002e-01,4.425790000000000002e-01,4.257349999999999746e-01,4.257349999999999746e-01,0.46057050000000005,0.45325260000000006
HD3,terB,0.051,8.138600000000000001e-02,8.138600000000000001e-02,1.151210000000000011e-01,1.151210000000000011e-01,9.693599999999999439e-02,9.693599999999999439e-02,1.097039999999999960e-01,1.097039999999999960e-01,4.019400000000000056e-02,4.019400000000000056e-02,1.314750000000000085e-01,1.314750000000000085e-01,7.513400000000000634e-02,7.513400000000000634e-02,4.028899999999999842e-02,4.028899999999999842e-02,8.593299999999999550e-02,8.593299999999999550e-02,8.980599999999999694e-02,8.980599999999999694e-02,0.0865978,0.0845274
CA1,terB,0.618,1.448936999999999919e+00,1.448936999999999919e+00,1.485108000000000095e+00,1.485108000000000095e+00,1.490914000000000073e+00,1.490914000000000073e+00,1.486039000000000110e+00,1.486039000000000110e+00,1.488081999999999905e+00,1.488081999999999905e+00,1.451664999999999983e+00,1.451664999999999983e+00,1.504251999999999923e+00,1.504251999999999923e+00,1.499997000000000025e+00,1.499997000000000025e+00,1.499268999999999963e+00,1.499268999999999963e+00,1.465546999999999933e+00,1.465546999999999933e+00,1.481981,1.484146
OA1,terB,-0.52125,-1.102106999999999948e+00,-1.102106999999999948e+00,-1.092664999999999997e+00,-1.092664999999999997e+00,-1.110805000000000042e+00,-1.110805000000000042e+00,-1.087137999999999938e+00,-1.087137999999999938e+00,-1.086584999999999912e+00,-1.086584999999999912e+00,-1.073458999999999941e+00,-1.073458999999999941e+00,-1.131647000000000070e+00,-1.131647000000000070e+00,-1.117483000000000004e+00,-1.117483000000000004e+00,-1.109833000000000069e+00,-1.109833000000000069e+00,-1.134422999999999959e+00,-1.134422999999999959e+00,-1.1046145,-1.113369
OA2,terB,-0.37225,-1.033703000000000038e+00,-1.033703000000000038e+00,-1.049091999999999913e+00,-1.049091999999999913e+00,-1.055163000000000073e+00,-1.055163000000000073e+00,-1.032218000000000080e+00,-1.032218000000000080e+00,-1.037922000000000011e+00,-1.037922000000000011e+00,-1.044648999999999939e+00,-1.044648999999999939e+00,-1.026100999999999930e+00,-1.026100999999999930e+00,-1.040000999999999953e+00,-1.040000999999999953e+00,-1.037500000000000089e+00,-1.037500000000000089e+00,-1.025557000000000052e+00,-1.025557000000000052e+00,-1.0381906,-1.0347616
CA2,terB,0.2755,3.817479999999999762e-01,5.112349999999999950e-01,3.763500000000000179e-01,5.248760000000000092e-01,3.515849999999999809e-01,4.950080000000000036e-01,3.713839999999999919e-01,5.307958999999999872e-01,3.357589999999999741e-01,5.001079999999999970e-01,3.752909999999999857e-01,5.234659000000000395e-01,3.063529999999999864e-01,5.073898999999999493e-01,3.597940000000000027e-01,5.525999000000000327e-01,3.443309999999999982e-01,5.008780000000000454e-01,3.405270000000000241e-01,5.158289000000000346e-01,0.51621855,0.52003252
CA3,terB,0.3475,3.079689999999999928e-01,3.881350000000000078e-01,3.170749999999999957e-01,3.697190000000000198e-01,3.116740000000000066e-01,4.021589999999999887e-01,2.742780000000000218e-01,3.335789000000000115e-01,3.284110000000000085e-01,3.954900000000000082e-01,2.837450000000000250e-01,3.609148999999999829e-01,3.030329999999999968e-01,3.915049999999999919e-01,2.377640000000000031e-01,3.368439999999999768e-01,3.059459999999999957e-01,3.952828999999999926e-01,3.131840000000000179e-01,3.911529000000000256e-01,0.3764781599999999,0.37513994
NA1,terB,-1.0315,-1.091288000000000036e+00,-1.091288000000000036e+00,-1.082227000000000050e+00,-1.082227000000000050e+00,-1.079655000000000031e+00,-1.079655000000000031e+00,-1.111353999999999953e+00,-1.111353999999999953e+00,-1.114249000000000045e+00,-1.114249000000000045e+00,-1.071925000000000017e+00,-1.071925000000000017e+00,-1.122303000000000051e+00,-1.122303000000000051e+00,-1.013339999999999907e+00,-1.013339999999999907e+00,-1.150819000000000036e+00,-1.150819000000000036e+00,-1.112600999999999951e+00,-1.112600999999999951e+00,-1.0949761,-1.0941975999999998
HA1,terB,0.342,3.772150000000000225e-01,3.772150000000000225e-01,3.584019999999999984e-01,3.584019999999999984e-01,4.009630000000000138e-01,4.009630000000000138e-01,4.195050000000000168e-01,4.195050000000000168e-01,4.137520000000000087e-01,4.137520000000000087e-01,3.854989999999999806e-01,3.854989999999999806e-01,4.057700000000000196e-01,4.057700000000000196e-01,3.381569999999999854e-01,3.381569999999999854e-01,4.208810000000000051e-01,4.208810000000000051e-01,3.857789999999999830e-01,3.857789999999999830e-01,0.39059229999999995,0.3872172
HA2,terB,0.342,3.840219999999999745e-01,3.840219999999999745e-01,3.959719999999999906e-01,3.959719999999999906e-01,3.537009999999999876e-01,3.537009999999999876e-01,3.892430000000000057e-01,3.892430000000000057e-01,3.666289999999999827e-01,3.666289999999999827e-01,3.646650000000000169e-01,3.646650000000000169e-01,3.757789999999999742e-01,3.757789999999999742e-01,3.564890000000000003e-01,3.564890000000000003e-01,4.040599999999999747e-01,4.040599999999999747e-01,3.962439999999999851e-01,3.962439999999999851e-01,0.3786804,0.3794474
CB1,terB,0.618,1.509077999999999919e+00,1.509077999999999919e+00,1.479273999999999978e+00,1.479273999999999978e+00,1.475168000000000035e+00,1.475168000000000035e+00,1.482982999999999940e+00,1.482982999999999940e+00,1.479077999999999893e+00,1.479077999999999893e+00,1.418582999999999927e+00,1.418582999999999927e+00,1.468626999999999905e+00,1.468626999999999905e+00,1.503751999999999978e+00,1.503751999999999978e+00,1.481741999999999893e+00,1.481741999999999893e+00,1.464059999999999917e+00,1.464059999999999917e+00,1.4762345,1.4673528
OB1,terB,-0.52125,-1.101129999999999942e+00,-1.101129999999999942e+00,-1.117369000000000057e+00,-1.117369000000000057e+00,-1.107887999999999984e+00,-1.107887999999999984e+00,-1.119451999999999892e+00,-1.119451999999999892e+00,-1.089482000000000061e+00,-1.089482000000000061e+00,-1.078019999999999978e+00,-1.078019999999999978e+00,-1.103385999999999978e+00,-1.103385999999999978e+00,-1.113993999999999929e+00,-1.113993999999999929e+00,-1.087545999999999902e+00,-1.087545999999999902e+00,-1.100616000000000039e+00,-1.100616000000000039e+00,-1.1018883,-1.0967124
OB2,terB,-0.37225,-1.079533000000000076e+00,-1.079533000000000076e+00,-1.038856999999999919e+00,-1.038856999999999919e+00,-1.030629999999999935e+00,-1.030629999999999935e+00,-1.025028000000000050e+00,-1.025028000000000050e+00,-1.018140999999999963e+00,-1.018140999999999963e+00,-1.034183999999999992e+00,-1.034183999999999992e+00,-1.009019000000000110e+00,-1.009019000000000110e+00,-1.053087000000000106e+00,-1.053087000000000106e+00,-1.060043999999999986e+00,-1.060043999999999986e+00,-1.038451000000000013e+00,-1.038451000000000013e+00,-1.0386973999999998,-1.0389570000000001
CB2,terB,0.2755,4.253879999999999884e-01,5.408319000000000321e-01,4.183890000000000109e-01,5.077850000000000419e-01,3.258059999999999845e-01,5.298079999999999457e-01,3.530639999999999890e-01,5.245828999999999631e-01,2.111429999999999974e-01,4.172949000000000241e-01,4.094829999999999859e-01,5.132738999999999496e-01,3.753889999999999727e-01,4.821409999999999862e-01,3.987430000000000141e-01,5.678419000000000105e-01,3.358320000000000194e-01,5.171839999999999771e-01,3.234449999999999825e-01,4.697709999999999941e-01,0.50705145,0.51004236
CB3,terB,0.3475,3.217490000000000072e-01,3.884878999999999971e-01,3.212809999999999833e-01,4.079319000000000139e-01,2.377839999999999954e-01,3.626880000000000104e-01,2.710600000000000231e-01,3.557699999999999751e-01,4.425259999999999749e-01,4.642549999999999732e-01,2.751410000000000244e-01,3.802198999999999995e-01,3.695620000000000016e-01,3.867070000000000229e-01,2.582969999999999988e-01,3.307969000000000048e-01,2.129630000000000134e-01,3.848300000000000054e-01,3.300660000000000260e-01,4.317079999999999806e-01,0.38933946,0.38285236
NB1,terB,-1.0315,-1.166450999999999905e+00,-1.166450999999999905e+00,-1.171621000000000024e+00,-1.171621000000000024e+00,-1.108532999999999991e+00,-1.108532999999999991e+00,-1.101224999999999898e+00,-1.101224999999999898e+00,-1.082300000000000040e+00,-1.082300000000000040e+00,-1.100619999999999932e+00,-1.100619999999999932e+00,-1.060883000000000020e+00,-1.060883000000000020e+00,-1.131273999999999891e+00,-1.131273999999999891e+00,-1.079655999999999949e+00,-1.079655999999999949e+00,-1.062905999999999906e+00,-1.062905999999999906e+00,-1.1065468999999999,-1.0870677999999998
HB1,terB,0.342,3.979289999999999772e-01,3.979289999999999772e-01,3.769710000000000005e-01,3.769710000000000005e-01,3.877809999999999868e-01,3.877809999999999868e-01,4.006319999999999881e-01,4.006319999999999881e-01,3.350190000000000112e-01,3.350190000000000112e-01,3.919679999999999831e-01,3.919679999999999831e-01,4.163180000000000214e-01,4.163180000000000214e-01,4.172600000000000198e-01,4.172600000000000198e-01,3.999019999999999797e-01,3.999019999999999797e-01,4.063510000000000177e-01,4.063510000000000177e-01,0.3930131,0.4063598
HB2,terB,0.342,4.125409999999999910e-01,4.125409999999999910e-01,4.418489999999999918e-01,4.418489999999999918e-01,3.859719999999999818e-01,3.859719999999999818e-01,3.841749999999999887e-01,3.841749999999999887e-01,4.257250000000000201e-01,4.257250000000000201e-01,3.794359999999999955e-01,3.794359999999999955e-01,3.260709999999999997e-01,3.260709999999999997e-01,3.900500000000000078e-01,3.900500000000000078e-01,3.689870000000000094e-01,3.689870000000000094e-01,3.267920000000000269e-01,3.267920000000000269e-01,0.38415980000000005,0.35826719999999995
CD6,terB,-0.18,-2.707000000000000031e-02,-2.707000000000000031e-02,-1.250020000000000020e-01,-1.250020000000000020e-01,-1.051600000000000035e-01,-1.051600000000000035e-01,-9.514699999999999547e-02,-9.514699999999999547e-02,-8.656999999999999418e-02,-8.656999999999999418e-02,-1.373929999999999874e-01,-1.373929999999999874e-01,-1.015189999999999981e-01,-1.015189999999999981e-01,-7.176499999999999546e-02,-7.176499999999999546e-02,-7.259400000000000575e-02,-7.259400000000000575e-02,-6.304800000000000681e-02,-6.304800000000000681e-02,-0.08852679999999999,-0.08926379999999999
HD4,terB,0.18,7.166599999999999360e-02,7.166599999999999360e-02,6.485100000000000586e-02,6.485100000000000586e-02,8.568399999999999628e-02,8.568399999999999628e-02,3.254200000000000148e-02,3.254200000000000148e-02,8.034099999999999575e-02,8.034099999999999575e-02,4.557200000000000140e-02,4.557200000000000140e-02,5.311400000000000149e-02,5.311400000000000149e-02,7.325299999999999867e-02,7.325299999999999867e-02,7.278199999999999947e-02,7.278199999999999947e-02,5.911399999999999988e-02,5.911399999999999988e-02,0.0638919,0.060767
CD1,OXO0,-0.184,-6.565100000000000102e-02,-6.565100000000000102e-02,-4.329000000000000382e-03,-4.329000000000000382e-03,-7.043599999999999861e-02,-7.043599999999999861e-02,-4.381999999999999611e-03,-4.381999999999999611e-03,-1.613009999999999999e-01,-1.613009999999999999e-01,4.468899999999999956e-02,4.468899999999999956e-02,-1.160599999999999965e-01,-1.160599999999999965e-01,-8.095900000000000318e-02,-8.095900000000000318e-02,-9.634099999999999608e-02,-9.634099999999999608e-02,-7.955099999999999671e-02,-7.955099999999999671e-02,-0.06343209999999999,-0.06564439999999999
HD1,OXO0,0.184,4.366300000000000042e-02,4.366300000000000042e-02,1.024500000000000063e-02,1.024500000000000063e-02,6.143599999999999756e-02,6.143599999999999756e-02,3.191800000000000193e-02,3.191800000000000193e-02,9.490200000000000025e-02,9.490200000000000025e-02,3.769700000000000134e-02,3.769700000000000134e-02,1.371149999999999869e-01,1.371149999999999869e-01,7.372900000000000287e-02,7.372900000000000287e-02,1.137800000000000061e-01,1.137800000000000061e-01,7.611300000000000010e-02,7.611300000000000010e-02,0.06805979999999999,0.0876868
CD2,OXO0,0.431,3.551940000000000097e-01,3.551940000000000097e-01,4.334100000000000175e-01,4.334100000000000175e-01,4.295570000000000221e-01,4.295570000000000221e-01,3.848770000000000246e-01,3.848770000000000246e-01,4.327529999999999988e-01,4.327529999999999988e-01,3.750930000000000097e-01,3.750930000000000097e-01,4.950749999999999873e-01,4.950749999999999873e-01,4.234160000000000146e-01,4.234160000000000146e-01,3.752210000000000267e-01,3.752210000000000267e-01,3.786459999999999826e-01,3.786459999999999826e-01,0.4083242,0.4094902
HD2,OXO0,0.055999999999999994,1.311249999999999916e-01,1.311249999999999916e-01,8.636699999999999933e-02,8.636699999999999933e-02,1.156149999999999956e-01,1.156149999999999956e-01,1.410339999999999927e-01,1.410339999999999927e-01,1.659460000000000102e-01,1.659460000000000102e-01,1.256829999999999892e-01,1.256829999999999892e-01,3.580200000000000049e-02,3.580200000000000049e-02,1.111729999999999940e-01,1.111729999999999940e-01,1.322989999999999999e-01,1.322989999999999999e-01,1.340359999999999885e-01,1.340359999999999885e-01,0.11790800000000001,0.10779860000000001
OD1,OXO0,-0.502,-9.667599999999999527e-01,-9.667599999999999527e-01,-9.788179999999999659e-01,-9.788179999999999659e-01,-9.844730000000000425e-01,-9.844730000000000425e-01,-9.680370000000000363e-01,-9.680370000000000363e-01,-9.946639999999999926e-01,-9.946639999999999926e-01,-9.841469999999999940e-01,-9.841469999999999940e-01,-1.019058999999999937e+00,-1.019058999999999937e+00,-9.855120000000000546e-01,-9.855120000000000546e-01,-9.986450000000000049e-01,-9.986450000000000049e-01,-9.665350000000000330e-01,-9.665350000000000330e-01,-0.984665,-0.9907796000000001
CD3,OXO0,-0.174,-5.294100000000000195e-02,3.389299999999999952e-02,-1.795700000000000074e-02,6.329200000000000104e-02,-1.765500000000000055e-02,5.906290000000000151e-02,-6.682999999999999705e-03,6.716199999999999948e-02,-4.333700000000000052e-02,4.999289999999999984e-02,-5.861999999999999850e-02,1.798189999999999858e-02,4.380000000000000213e-04,6.475590000000000512e-02,-3.246700000000000280e-02,3.394500000000000295e-02,1.898199999999999887e-02,9.541299999999999781e-02,3.069500000000000006e-02,9.107590000000000130e-02,0.05765745,0.060634339999999995
CD4,OXO0,-0.12,1.601100000000000093e-02,8.303689999999999682e-02,-8.528000000000000858e-03,7.925989999999999425e-02,6.984899999999999443e-02,8.964590000000000058e-02,-5.752399999999999874e-02,6.745800000000000407e-02,2.337999999999999801e-03,7.592989999999999462e-02,-1.222700000000000002e-02,7.470490000000000463e-02,-5.712600000000000317e-02,4.292689999999999700e-02,-3.346699999999999675e-02,6.350100000000000189e-02,4.971199999999999924e-02,8.099699999999999955e-02,-7.945999999999999938e-03,7.372199999999999587e-02,0.07311823999999999,0.06717036000000001
CD5,OXO0,0.258,4.521470000000000211e-01,4.521470000000000211e-01,4.579409999999999870e-01,4.579409999999999870e-01,4.310820000000000207e-01,4.310820000000000207e-01,4.365720000000000156e-01,4.365720000000000156e-01,4.588639999999999941e-01,4.588639999999999941e-01,3.869040000000000257e-01,3.869040000000000257e-01,4.979109999999999925e-01,4.979109999999999925e-01,4.464230000000000143e-01,4.464230000000000143e-01,4.676469999999999794e-01,4.676469999999999794e-01,4.241829999999999767e-01,4.241829999999999767e-01,0.44596740000000007,0.44461359999999994
HD3,OXO0,0.051,4.105700000000000321e-02,4.105700000000000321e-02,2.452700000000000019e-02,2.452700000000000019e-02,7.424500000000000544e-02,7.424500000000000544e-02,8.057499999999999385e-02,8.057499999999999385e-02,2.775000000000000036e-02,2.775000000000000036e-02,1.044970000000000065e-01,1.044970000000000065e-01,7.763000000000000456e-02,7.763000000000000456e-02,9.861499999999999433e-02,9.861499999999999433e-02,9.367499999999999438e-02,9.367499999999999438e-02,8.003499999999999504e-02,8.003499999999999504e-02,0.07026059999999999,0.0908904
CA1,OXO0,0.618,1.461448999999999998e+00,1.461448999999999998e+00,1.482121000000000022e+00,1.482121000000000022e+00,1.434684999999999988e+00,1.434684999999999988e+00,1.493657000000000012e+00,1.493657000000000012e+00,1.485170000000000101e+00,1.485170000000000101e+00,1.462854000000000099e+00,1.462854000000000099e+00,1.505544999999999911e+00,1.505544999999999911e+00,1.502000000000000002e+00,1.502000000000000002e+00,1.483532999999999991e+00,1.483532999999999991e+00,1.526135999999999937e+00,1.526135999999999937e+00,1.483715,1.4960136
OA1,OXO0,-0.52125,-1.111299999999999955e+00,-1.111299999999999955e+00,-1.073800000000000088e+00,-1.073800000000000088e+00,-1.105245000000000033e+00,-1.105245000000000033e+00,-1.113580000000000014e+00,-1.113580000000000014e+00,-1.089480999999999922e+00,-1.089480999999999922e+00,-1.102259000000000100e+00,-1.102259000000000100e+00,-1.102605000000000057e+00,-1.102605000000000057e+00,-1.127523000000000053e+00,-1.127523000000000053e+00,-1.119671000000000083e+00,-1.119671000000000083e+00,-1.127893999999999952e+00,-1.127893999999999952e+00,-1.1073358,-1.1159904
OA2,OXO0,-0.37225,-1.026494999999999935e+00,-1.026494999999999935e+00,-1.076672000000000073e+00,-1.076672000000000073e+00,-1.036801000000000084e+00,-1.036801000000000084e+00,-1.018154999999999921e+00,-1.018154999999999921e+00,-1.050256000000000078e+00,-1.050256000000000078e+00,-1.039444999999999952e+00,-1.039444999999999952e+00,-1.052489999999999926e+00,-1.052489999999999926e+00,-1.021622999999999948e+00,-1.021622999999999948e+00,-1.025727999999999973e+00,-1.025727999999999973e+00,-1.070629999999999971e+00,-1.070629999999999971e+00,-1.0418295,-1.0419832
CA2,OXO0,0.2755,3.612569999999999948e-01,5.278549999999999631e-01,3.931220000000000270e-01,4.979569999999999830e-01,3.473419999999999841e-01,5.189869999999999761e-01,3.354559999999999764e-01,5.249338999999999533e-01,2.871750000000000136e-01,4.618369999999999975e-01,4.061569999999999903e-01,5.205109999999999459e-01,3.495800000000000018e-01,5.217969000000000079e-01,3.719089999999999896e-01,5.129888999999999699e-01,3.208139999999999881e-01,5.118639999999999857e-01,3.661010000000000097e-01,5.365149000000000168e-01,0.51352456,0.52073514
CA3,OXO0,0.3475,3.353490000000000082e-01,3.806018999999999930e-01,2.874840000000000173e-01,3.916439999999999921e-01,2.915880000000000138e-01,3.739850000000000119e-01,3.098389999999999755e-01,3.620099999999999985e-01,2.795230000000000214e-01,4.208850000000000091e-01,3.394949999999999912e-01,3.746030000000000193e-01,3.190700000000000203e-01,3.549089999999999745e-01,3.052880000000000038e-01,3.937199000000000115e-01,2.826779999999999848e-01,3.890728999999999993e-01,2.432519999999999960e-01,3.637960000000000083e-01,0.38052266999999995,0.37522015999999997
NA1,OXO0,-1.0315,-1.069887000000000032e+00,-1.069887000000000032e+00,-1.104473000000000038e+00,-1.104473000000000038e+00,-1.113148000000000026e+00,-1.113148000000000026e+00,-1.061347999999999958e+00,-1.061347999999999958e+00,-1.120543000000000067e+00,-1.120543000000000067e+00,-1.059199999999999919e+00,-1.059199999999999919e+00,-1.062955000000000094e+00,-1.062955000000000094e+00,-1.060189999999999966e+00,-1.060189999999999966e+00,-1.077118000000000020e+00,-1.077118000000000020e+00,-1.067128000000000076e+00,-1.067128000000000076e+00,-1.0795990000000002,-1.0653182
HA1,OXO0,0.342,3.399449999999999972e-01,3.399449999999999972e-01,4.041279999999999872e-01,4.041279999999999872e-01,4.044599999999999862e-01,4.044599999999999862e-01,3.738020000000000231e-01,3.738020000000000231e-01,3.995389999999999775e-01,3.995389999999999775e-01,3.810200000000000253e-01,3.810200000000000253e-01,3.845859999999999834e-01,3.845859999999999834e-01,3.427439999999999931e-01,3.427439999999999931e-01,3.905219999999999803e-01,3.905219999999999803e-01,4.005239999999999911e-01,4.005239999999999911e-01,0.382127,0.3798792
HA2,OXO0,0.342,3.898179999999999978e-01,3.898179999999999978e-01,3.838710000000000178e-01,3.838710000000000178e-01,3.876319999999999766e-01,3.876319999999999766e-01,3.639200000000000212e-01,3.639200000000000212e-01,3.924940000000000095e-01,3.924940000000000095e-01,3.512620000000000187e-01,3.512620000000000187e-01,3.667429999999999857e-01,3.667429999999999857e-01,3.661479999999999735e-01,3.661479999999999735e-01,3.469690000000000274e-01,3.469690000000000274e-01,3.561630000000000074e-01,3.561630000000000074e-01,0.370502,0.357457
CB1,OXO0,0.618,1.501567000000000096e+00,1.501567000000000096e+00,1.481867000000000045e+00,1.481867000000000045e+00,1.456385000000000041e+00,1.456385000000000041e+00,1.442776999999999976e+00,1.442776999999999976e+00,1.467748000000000053e+00,1.467748000000000053e+00,1.532305000000000028e+00,1.532305000000000028e+00,1.480933000000000055e+00,1.480933000000000055e+00,1.496806999999999999e+00,1.496806999999999999e+00,1.449486999999999970e+00,1.449486999999999970e+00,1.464695999999999998e+00,1.464695999999999998e+00,1.4774572,1.4848455999999999
